id,title,journal,year,source_class,identifier,id_kind,verified,retrieval_status,mechanism_nodes,cohorts,has_abstract,abstract_source,link
epmc_med_41623448,The effect of alpha-lipoic acid supplementation on vascular function and inflammation in patients newly experienced stroke,Journal of Research in Medical Sciences,2025,international_literature,10.4103/jrms.jrms_611_21,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.4103/jrms.jrms_611_21
epmc_med_41640792,Survey of MaineHealth Cancer Care Network Providers on Cannabis Use: Preparation for Studies Sponsored by the National Cancer Institute,Journal of Maine Medical Center,2026,international_literature,10.46804/2641-2225.1245,doi,True,POINTER_ONLY,cannabinoid_endocannabinoid,liver_hcc,True,,https://doi.org/10.46804/2641-2225.1245
epmc_med_41659256,Efficacy and mechanisms of cisplatin and sulforaphane nanoparticles in alleviating cisplatin resistance in non-small cell lung cancer,Translational Lung Cancer Research,2026,international_literature,10.21037/tlcr-2025-1123,doi,True,POINTER_ONLY,dna_damage_parp|oxidative_stress_redox|p53_apoptosis_cell_cycle,lung,True,,https://doi.org/10.21037/tlcr-2025-1123
epmc_med_41674940,EGCG promotes apoptosis in BT-549 triple-negative breast cancer cells by targeting STAT3,Translational Cancer Research,2026,international_literature,10.21037/tcr-2025-1-2883,doi,True,POINTER_ONLY,p53_apoptosis_cell_cycle,breast,True,,https://doi.org/10.21037/tcr-2025-1-2883
epmc_med_41683374,"Cuproptosis: Biomarkers, Mechanisms and Treatments in Diseases",Molecules,2026,narrative_review,10.3390/molecules31030394,doi,True,POINTER_ONLY,p53_apoptosis_cell_cycle,,True,,https://doi.org/10.3390/molecules31030394
epmc_med_41690125,"Multimodal brain–gut–sleep phenotypes predict delirium, long-term cognitive decline, and survival after colorectal cancer surgery",Psychoneuroendocrinology,2026,observational,10.1016/j.psyneuen.2026.107794,doi,True,POINTER_ONLY,oxidative_stress_redox,colorectal,True,,https://doi.org/10.1016/j.psyneuen.2026.107794
epmc_med_41703670,"Diet, nutrition, and hormone therapy for prostate cancer: a systematic review with implications for future interventions",JNCI Cancer Spectrum,2026,systematic_review,10.1093/jncics/pkag014,doi,True,POINTER_ONLY,oxidative_stress_redox|perfusion_vascular_hypoxia,prostate,True,,https://doi.org/10.1093/jncics/pkag014
epmc_med_41720422,"Mebendazole impairs the expression and function of enzymes in nucleotide metabolism pathways, leading to Selective Cytotoxicity, Cell Cycle Arrest, and Damage to Cell Morphology in Gastric Cancer",Chemico-Biological Interactions,2026,international_literature,10.1016/j.cbi.2026.111973,doi,True,POINTER_ONLY,p53_apoptosis_cell_cycle,gastric,True,,https://doi.org/10.1016/j.cbi.2026.111973
epmc_med_41735448,Evaluation of copper chloride crystallisation as a method for systems-level characterisation of phytopharmaceuticals – a pilot investigation,Scientific Reports,2026,international_literature,10.1038/s41598-026-41081-6,doi,True,POINTER_ONLY,,,False,,https://doi.org/10.1038/s41598-026-41081-6
epmc_med_41750258,New Pyridinone Alkaloid and Polyketide from the Cordyceps-Colonizing Fungus Pseudogymnoascus roseus,Biomolecules,2026,international_literature,10.3390/biom16020187,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.3390/biom16020187
epmc_med_41762649,The effectiveness of the AI-based RehabLung mobile rehabilitation system on cardiopulmonary function and user satisfaction in lung cancer patients undergoing thoracic surgery: a protocol for a two-arm randomized clinical trial,Therapeutic Advances in Respiratory Disease,2026,clinical_trial,10.1177/17534666261427319,doi,True,POINTER_ONLY,perfusion_vascular_hypoxia,lung,True,,https://doi.org/10.1177/17534666261427319
epmc_med_41777712,"Recent advances in small-molecule fluorescent probes for simultaneous dual detection of HClO/ClO
                    <sup>−</sup>
                    and analytes/microenvironment",Chemical Science,2026,narrative_review,10.1039/d5sc08843g,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.1039/d5sc08843g
epmc_med_41799505,"The Neuroimmune Axis in Gastric Cancer: Bridging Neural Regulation, Tumor Microenvironment, and Immunotherapy",Oncology Research,2026,narrative_review,10.32604/or.2025.074893,doi,True,POINTER_ONLY,immune_checkpoint|oxidative_stress_redox|perfusion_vascular_hypoxia,gastric,True,,https://doi.org/10.32604/or.2025.074893
epmc_med_41815161,Efficacy and potential mechanism of main active ingredients of Astragalus membranaceus in animals with hepatocellular carcinoma: a systematic review and meta-analysis,Translational Cancer Research,2026,meta_analysis,10.21037/tcr-2025-aw-2426,doi,True,POINTER_ONLY,oxidative_stress_redox,liver_hcc,True,,https://doi.org/10.21037/tcr-2025-aw-2426
epmc_med_41832362,Acceptability and Feasibility of a Virtual Multimodal (P)Rehabilitation Programme for Gastrointestinal Cancer Patients: The PRIORITY-CONNECT 2 Pilot Randomised Controlled Trial,Annals of Surgical Oncology,2026,rct,10.1245/s10434-026-19355-0,doi,True,POINTER_ONLY,oxidative_stress_redox,colorectal,True,,https://doi.org/10.1245/s10434-026-19355-0
epmc_med_41848509,Photosynthetic Nanobacteria Drive Metabolic‐Immune Synergy for Hypoxia‐Resistant Cancer Therapy,Advanced Materials,2026,international_literature,10.1002/adma.72834,doi,True,POINTER_ONLY,immune_checkpoint|metabolic_fasting_glycolysis|oxidative_stress_redox|perfusion_vascular_hypoxia,breast,True,,https://doi.org/10.1002/adma.72834
epmc_med_41861180,Clinical risk factors associated with poor prognosis in gastric cancer patients with peritoneal metastasis,Medicine,2026,observational,10.1097/md.0000000000047944,doi,True,POINTER_ONLY,oxidative_stress_redox,gastric,True,,https://doi.org/10.1097/md.0000000000047944
epmc_med_41878172,Between Deficiency and Excess: The Dual Role of Selected Dietary Supplements in Immune Health,Cureus,2026,narrative_review,10.7759/cureus.104014,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.7759/cureus.104014
epmc_med_41891359,Enhancing Quality of Life in Head and Neck Cancer: A Scoping Review on the Role of Physical Prehabilitation,Cancer Medicine,2026,narrative_review,10.1002/cam4.71743,doi,True,POINTER_ONLY,perfusion_vascular_hypoxia,head_neck,True,,https://doi.org/10.1002/cam4.71743
epmc_med_41898546,Oxidative Stress in Health and Disease: Mechanisms and Therapeutic Perspectives,International Journal of Molecular Sciences,2026,narrative_review,10.3390/ijms27062681,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.3390/ijms27062681
epmc_med_41901240,"Cyclamen persicum Bulb Extract Modulates NF-κB, Oxidative Stress, and Apoptotic Pathways in Triple-Negative Breast Cancer",Pharmaceuticals,2026,international_literature,10.3390/ph19030388,doi,True,POINTER_ONLY,immune_checkpoint|oxidative_stress_redox|p53_apoptosis_cell_cycle,breast|pancreatic,True,,https://doi.org/10.3390/ph19030388
epmc_med_41912408,Patient‐reported health‐related quality of life in previously untreated chronic lymphocytic leukaemia: Results from the randomised phase 3 FLAIR trial comparing ibrutinib–rituximab versus fludarabine–cyclophosphamide–rituximab,British Journal of Haematology,2026,rct,10.1111/bjh.70416,doi,True,POINTER_ONLY,oxidative_stress_redox,leukemia,True,,https://doi.org/10.1111/bjh.70416
epmc_med_41930142,Ferroptosis as a Translational Axis in Small Cell Lung Cancer: A Systematic Review of Redox Pathways and Precision Oncology Prospects,Oncology Research,2026,systematic_review,10.32604/or.2025.073045,doi,True,POINTER_ONLY,immune_checkpoint|oxidative_stress_redox,lung,True,,https://doi.org/10.32604/or.2025.073045
epmc_med_41941024,"Sex determining region Y box protein 2 (SOX2) expression, alteration, regulation and its diagnostics, prognostics and therapeutics in lung cancer",Discover Oncology,2026,international_literature,10.1007/s12672-026-04928-y,doi,True,POINTER_ONLY,,lung,True,,https://doi.org/10.1007/s12672-026-04928-y
epmc_med_41958547,Research status and progress on the relationship between obstructive sleep apnea and pulmonary nodules,Frontiers in Medicine,2026,narrative_review,10.3389/fmed.2026.1703966,doi,True,POINTER_ONLY,oxidative_stress_redox|perfusion_vascular_hypoxia,,True,,https://doi.org/10.3389/fmed.2026.1703966
epmc_med_41969459,"Unraveling glutamine metabolism in ovarian carcinoma: signaling cross-talk, positron emission tomography utility, and therapeutic boundaries",Translational Cancer Research,2026,commentary,10.21037/tcr-2025-1-2920,doi,True,POINTER_ONLY,oxidative_stress_redox,ovarian,False,,https://doi.org/10.21037/tcr-2025-1-2920
epmc_med_41977395,"The Brown Strain of Flammulina velutipes Singer Attenuates 5-Fluorouracil-Induced Intestinal Injury by Suppressing Inflammation, Oxidative Stress, and Barrier Disruption via Modulation of Epithelial–Mesenchymal Transition and Tight Junction Integrity",International Journal of Molecular Sciences,2026,international_literature,10.3390/ijms27073212,doi,True,POINTER_ONLY,immune_checkpoint|oxidative_stress_redox|p53_apoptosis_cell_cycle,colorectal,True,,https://doi.org/10.3390/ijms27073212
epmc_med_41987077,Circulating vitamin D status and prognosis in colorectal cancer: a systematic review and meta-analysis with exploratory evidence on vitamin D receptor polymorphisms,BMC Cancer,2026,meta_analysis,10.1186/s12885-026-16026-x,doi,True,POINTER_ONLY,,colorectal,False,,https://doi.org/10.1186/s12885-026-16026-x
epmc_med_42004071,Epigenetic reprogramming of hexokinase domain containing 1 (HKDC1) promotes proliferation in colorectal cancer,American Journal of Cancer Research,2026,international_literature,10.62347/ossn5233,doi,True,POINTER_ONLY,metabolic_fasting_glycolysis|oxidative_stress_redox,colorectal,True,,https://doi.org/10.62347/ossn5233
epmc_med_42020416,Ketogenic diet exacerbates DSS-induced colitis through a β-hydroxybutyrate-Thomasclavelia spiroformis-γδ17 T cell axis in mice,Nature Communications,2026,international_literature,10.1038/s41467-026-72044-0,doi,True,POINTER_ONLY,immune_checkpoint|metabolic_fasting_glycolysis,,True,,https://doi.org/10.1038/s41467-026-72044-0
epmc_med_42038440,Targeting cancer cell mitochondria with a multivalent source of singlet oxygen,Smart Molecules,2026,international_literature,10.1002/smo2.70035,doi,True,POINTER_ONLY,oxidative_stress_redox|p53_apoptosis_cell_cycle,,True,,https://doi.org/10.1002/smo2.70035
epmc_med_42045905,"An assessment of curcumin, curcumin spanlastics nanoparticles, and curcumin nanocrystals as possible drug delivery systems with antimicrobial, antioxidant, and antitumor activities",BMC Biotechnology,2026,international_literature,10.1186/s12896-026-01153-x,doi,True,POINTER_ONLY,,,False,,https://doi.org/10.1186/s12896-026-01153-x
epmc_med_42058232,Structure-guided optimisation of fenofibrate-derived oxidative phosphorylation inhibitors to modify tumour hypoxia,RSC Medicinal Chemistry,2026,international_literature,10.1039/d5md00742a,doi,True,POINTER_ONLY,electron_transport_oxphos|perfusion_vascular_hypoxia,,True,,https://doi.org/10.1039/d5md00742a
epmc_med_42072072,"Nanomaterial-Based Therapeutic Delivery: Integrating Redox Biology, Genetic Engineering, and Imaging-Guided Treatment",Antioxidants,2026,narrative_review,10.3390/antiox15040430,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.3390/antiox15040430
epmc_med_42074187,The Role of Cellular Senescence in Obstructive Airway Diseases: From Mechanisms to Therapeutic Targets,International Journal of Molecular Sciences,2026,narrative_review,10.3390/ijms27083542,doi,True,POINTER_ONLY,dna_damage_parp|herb_drug_interaction_cyp_pgp|immune_checkpoint|oxidative_stress_redox|p53_apoptosis_cell_cycle,,True,,https://doi.org/10.3390/ijms27083542
epmc_med_42077003,How the Ketogenic Diet Shapes the Microbiome to Influence Cancer Immunotherapy Outcomes: An Exploration of Clinical Trials and Their Results,Nutrition and Cancer,2026,narrative_review,10.1080/01635581.2026.2658807,doi,True,POINTER_ONLY,immune_checkpoint|metabolic_fasting_glycolysis,,True,,https://doi.org/10.1080/01635581.2026.2658807
epmc_med_42088220,Effects of different exercise interventions on depression and anxiety in cancer survivors: a systematic review and Bayesian network meta-analysis of randomized controlled trials,Frontiers in Oncology,2026,meta_analysis,10.3389/fonc.2026.1741755,doi,True,POINTER_ONLY,oxidative_stress_redox|perfusion_vascular_hypoxia,,True,,https://doi.org/10.3389/fonc.2026.1741755
epmc_med_42096654,"Efficacy and safety of denosumab, zoledronic acid and alendronate on bone mineral density and trabecular bone score in men with osteoporosis",Age and Ageing,2026,rct,10.1093/ageing/afag121,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.1093/ageing/afag121
epmc_med_42107864,Machine learning and multi-dimensional transcriptomics reveal the key molecular network of benzo(a)pyrene/NNK in promoting laryngeal cancer and develop prognostic models,Environmental Pollution,2026,international_literature,10.1016/j.envpol.2026.128275,doi,True,VERIFIED,oxidative_stress_redox,head_neck,True,,https://doi.org/10.1016/j.envpol.2026.128275
epmc_med_42119860,"Novel Cu(II)-complex loaded Eudragit® nanoparticles: design, synthesis, characterization, and enhanced antitumor activity against triple-negative breast cancer",International Journal of Pharmaceutics,2026,international_literature,10.1016/j.ijpharm.2026.126976,doi,True,POINTER_ONLY,oxidative_stress_redox|p53_apoptosis_cell_cycle,breast,True,,https://doi.org/10.1016/j.ijpharm.2026.126976
epmc_med_42124055,Diagnostic Performance and Agreement of MST and NUTRISCORE Compared with GLIM Criteria in Ambulatory Cancer Patients: Results from the OncoNutridos Study,Nutrients,2026,observational,10.3390/nu18091452,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.3390/nu18091452
epmc_med_42134900,Morning versus afternoon administration of immune checkpoint inhibitors in metastatic non-small-cell lung cancer,Journal for ImmunoTherapy of Cancer,2026,rct,10.1136/jitc-2025-013830,doi,True,POINTER_ONLY,immune_checkpoint|oxidative_stress_redox,lung,True,,https://doi.org/10.1136/jitc-2025-013830
epmc_med_42143941,Identification of the target ANTXR1 and covalent acylation mechanism of 8-esterified cycloberberines against cancer,European Journal of Medicinal Chemistry,2026,international_literature,10.1016/j.ejmech.2026.118965,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1016/j.ejmech.2026.118965
epmc_med_42152639,"Mechanistic Insights into Xihuang Wan against Bladder Cancer via PI3K/
AKT/BCL2-Mediated Apoptosis Inhibition: Integrated Network Pharmacology,
Molecular Docking, Molecular Dynamics Simulations and Experimental Validation",Current Pharmaceutical Design,2026,international_literature,10.2174/0113816128435835260116205839,doi,True,VERIFIED,p53_apoptosis_cell_cycle,bladder,True,,https://doi.org/10.2174/0113816128435835260116205839
epmc_med_42166960,A critical review of gold(I) complexes as anticancer agents: from canonical mechanisms to immune activation,Bioorganic Chemistry,2026,narrative_review,10.1016/j.bioorg.2026.109969,doi,True,POINTER_ONLY,immune_checkpoint|oxidative_stress_redox,,True,,https://doi.org/10.1016/j.bioorg.2026.109969
epmc_med_42179885,Engineered nanomedicine triggering ROS storms for enhanced cancer therapeutics,Regenerative Biomaterials,2026,narrative_review,10.1093/rb/rbag029,doi,True,POINTER_ONLY,immune_checkpoint|oxidative_stress_redox,,True,,https://doi.org/10.1093/rb/rbag029
epmc_med_42186346,"Ruthenium(
                    <scp>ii</scp>
                    )/diphosphine/naphthoquinone complexes: synthesis, characterization, anticancer activity and molecular docking studies",Dalton Transactions,2026,international_literature,10.1039/d6dt00204h,doi,True,VERIFIED,electron_transport_oxphos|p53_apoptosis_cell_cycle,breast,True,,https://doi.org/10.1039/d6dt00204h
epmc_med_42193163,A Narrative Review of In Vivo Studies on the Role of Reactive Oxygen Species in Ovarian Cancer,Antioxidants,2026,narrative_review,10.3390/antiox15050540,doi,True,POINTER_ONLY,dna_damage_parp|immune_checkpoint|metabolic_fasting_glycolysis|oxidative_stress_redox|p53_apoptosis_cell_cycle,ovarian,True,,https://doi.org/10.3390/antiox15050540
epmc_med_42196376,The Mechanism of Mg2+-Mediated Inhibition of Cervical Cancer by Inducing a Senescence-like State via the ATM/CHK2/p21 Signaling Pathway,International Journal of Molecular Sciences,2026,international_literature,10.3390/ijms27104397,doi,True,POINTER_ONLY,immune_checkpoint|p53_apoptosis_cell_cycle,cervical,True,,https://doi.org/10.3390/ijms27104397
epmc_med_42198317,"BPC-157 as an Investigational Peptide Therapeutic: Biopharmaceutical Challenges, Formulation Strategies, and Translational Development Barriers",Pharmaceutics,2026,narrative_review,10.3390/pharmaceutics18050625,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.3390/pharmaceutics18050625
epmc_med_42206489,Cancer Surveillance in Lynch Syndrome: A Scoping Review of International and National Guidelines,Genetics in Medicine,2026,narrative_review,10.1016/j.gim.2026.102610,doi,True,POINTER_ONLY,oxidative_stress_redox,bladder|colorectal|ovarian|pancreatic,True,,https://doi.org/10.1016/j.gim.2026.102610
epmc_med_42221543,Editorial: Discovery and function research of novel natural products,Frontiers in Chemistry,2026,commentary,10.3389/fchem.2026.1856543,doi,True,POINTER_ONLY,,,False,,https://doi.org/10.3389/fchem.2026.1856543
epmc_med_42232767,"Exploration of the multi-component, multi-target, and multi-pathway mechanism of Rubia yunnanensis in inhibiting breast cancer based on network pharmacology, molecular docking, and experimental validation",Biochemistry and Biophysics Reports,2026,international_literature,10.1016/j.bbrep.2026.102636,doi,True,POINTER_ONLY,p53_apoptosis_cell_cycle,breast,True,,https://doi.org/10.1016/j.bbrep.2026.102636
epmc_med_9624466,Phase I Safety and Pharmacokinetics Study of Micronized Atovaquone in Human Immunodeficiency Virus-Infected Infants and Children,Antimicrobial Agents and Chemotherapy,1998,clinical_trial,10.1128/aac.42.6.1315,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1128/aac.42.6.1315
epmc_ppr_ppr1183156,"The oxidative phosphorylation inhibitor, atovaquone, upregulates PD-L1 via activation of the ATM/ATR DNA damage response pathway",,2026,preprint,10.21203/rs.3.rs-9476762/v1,doi,True,VERIFIED,dna_damage_parp|electron_transport_oxphos|immune_checkpoint|p53_apoptosis_cell_cycle,ovarian,True,,https://doi.org/10.21203/rs.3.rs-9476762/v1
nct00005094,Celecoxib to Prevent Colorectal Cancer in Patients Who Have Undergone Surgery to Remove Polyps,ClinicalTrials.gov,2000-03,trial_registry,NCT00005094,nct,True,POINTER_ONLY,,colorectal,False,,https://clinicaltrials.gov/study/NCT00005094
nct00263185,High Dose Vit D Musculoskeletal Symptoms & Bone Density in Anastrozole-Treated Breast Cancer With Marginal Vit D Status,ClinicalTrials.gov,2005-11,trial_registry,NCT00263185,nct,True,POINTER_ONLY,,breast,False,,https://clinicaltrials.gov/study/NCT00263185
nct00566410,"A Phase I, Open-Labeled, Single-Arm, Dose Escalation, Clinical and Pharmacology Study of Dichloroacetate (DCA) in Patients With Recurrent and/or Metastatic Solid Tumours",ClinicalTrials.gov,2007-12,trial_registry,NCT00566410,nct,True,POINTER_ONLY,,,False,,https://clinicaltrials.gov/study/NCT00566410
nct00983580,Acetylsalicylic Acid and Eflornithine in Treating Patients at High Risk for Colorectal Cancer,ClinicalTrials.gov,2009-08-20,trial_registry,NCT00983580,nct,True,POINTER_ONLY,,colorectal,False,,https://clinicaltrials.gov/study/NCT00983580
nct01386632,Study of DCA (Dichloroacetate) in Combination With Cisplatin and Definitive Radiation in Head and Neck Carcinoma,ClinicalTrials.gov,2011-05,trial_registry,NCT01386632,nct,True,POINTER_ONLY,,head_neck,False,,https://clinicaltrials.gov/study/NCT01386632
nct01747720,Vitamin D and Mammographic Breast Density,ClinicalTrials.gov,2012-10,trial_registry,NCT01747720,nct,True,POINTER_ONLY,,,False,,https://clinicaltrials.gov/study/NCT01747720
nct02018497,Essential Hypotension and Allostasis Registry,ClinicalTrials.gov,1995-01,trial_registry,NCT02018497,nct,True,POINTER_ONLY,,,False,,https://clinicaltrials.gov/study/NCT02018497
nct02296125,AZD9291 Versus Gefitinib or Erlotinib in Patients With Locally Advanced or Metastatic Non-small Cell Lung Cancer,ClinicalTrials.gov,2014-12-03,trial_registry,NCT02296125,nct,True,POINTER_ONLY,,lung,False,,https://clinicaltrials.gov/study/NCT02296125
nct02596828,"Prospective Pilot Trial to Assess a Multimodal Molecular Targeted Therapy in Children, Adolescent and Young Adults With Relapsed or Refractory High-grade Pineoblastoma",ClinicalTrials.gov,2016-04,trial_registry,NCT02596828,nct,True,POINTER_ONLY,oxidative_stress_redox,,False,,https://clinicaltrials.gov/study/NCT02596828
nct02793531,Anabolic Response Cancer,ClinicalTrials.gov,2016-05,trial_registry,NCT02793531,nct,True,POINTER_ONLY,,,False,,https://clinicaltrials.gov/study/NCT02793531
nct03151291,Effects of WB-EMS and Specific Dietary Supplements on Cancer Patients,ClinicalTrials.gov,2016-12,trial_registry,NCT03151291,nct,True,POINTER_ONLY,,,False,,https://clinicaltrials.gov/study/NCT03151291
nct03461354,MucoLox Formulation to Mitigate Mucositis Symptoms in Head/Neck Cancer,ClinicalTrials.gov,2018-04-09,trial_registry,NCT03461354,nct,True,POINTER_ONLY,,,False,,https://clinicaltrials.gov/study/NCT03461354
nct03745261,Effect of Yong Chong Cao Capsule on Outcomes in Patients With Mild to Severe COPD,ClinicalTrials.gov,2018-06-20,trial_registry,NCT03745261,nct,True,POINTER_ONLY,,,False,,https://clinicaltrials.gov/study/NCT03745261
nct04098744,Artesunate Vaginal Inserts for the Treatment of Cervical Intraepithelial Neoplasia (CIN2/3),ClinicalTrials.gov,2020-09-09,trial_registry,NCT04098744,nct,True,POINTER_ONLY,,,False,,https://clinicaltrials.gov/study/NCT04098744
